date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry
2015-06-26,0.2031,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2015-07-12,0.0603,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2015-07-28,0.019,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2015-08-13,0.0467,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2015-08-29,0.189,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2015-09-14,0.5181,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2015-09-30,0.5648,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2015-10-16,0.5389,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2015-11-01,0.5103,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2015-11-17,0.4779,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2015-12-03,0.3036,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2015-12-19,0.3083,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2016-01-01,0.332,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2016-01-17,0.3021,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2016-02-02,0.3087,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2016-02-18,0.2591,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2016-03-05,0.2954,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2016-03-21,0.2453,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2016-04-06,0.2239,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2016-04-22,0.2119,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2016-05-08,0.1517,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2016-05-24,0.1878,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2016-06-09,0.1318,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2016-06-25,0.1458,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2016-07-11,0.0466,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2016-07-27,0.0384,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2016-08-12,0.2193,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2016-08-28,0.0738,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2016-09-13,0.1573,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2016-09-29,0.383,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2016-10-15,0.4634,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2016-10-31,0.4405,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2016-11-16,0.4434,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2016-12-02,0.3139,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2016-12-18,0.3371,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2017-01-01,0.3709,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2017-01-17,0.2933,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2017-02-02,0.3329,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2017-02-18,0.3201,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2017-03-06,0.2904,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2017-03-22,0.2673,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2017-04-07,0.2227,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2017-04-23,0.1543,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2017-05-09,0.1808,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2017-05-25,0.2211,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2017-06-10,0.1682,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2017-06-26,0.1504,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2017-07-12,0.0403,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2017-07-28,0.0186,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2017-08-13,0.1409,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2017-08-29,0.6697,28.51999982,0.0,8,0,0.8,POINT (72.05 22.77)
2017-09-14,0.7968,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2017-09-30,0.4452,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2017-10-16,0.5464,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2017-11-01,0.3772,28.51999982,0.0,11,0,0.4,POINT (72.05 22.77)
2017-11-17,0.4954,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2017-12-03,0.6135,28.51999982,0.0,12,1,0.8,POINT (72.05 22.77)
2017-12-19,0.3224,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2018-01-01,0.3504,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2018-01-17,0.2691,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2018-02-02,0.3846,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2018-02-18,0.3255,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2018-03-06,0.4376,28.51999982,0.0,3,0,0.8,POINT (72.05 22.77)
2018-03-22,0.3587,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2018-04-07,0.3472,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2018-04-23,0.3704,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2018-05-09,0.2318,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2018-05-25,0.2339,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2018-06-10,0.2515,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2018-06-26,0.0786,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2018-07-12,0.0594,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2018-07-28,0.13,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2018-08-13,0.2322,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2018-08-29,0.2221,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2018-09-14,0.2518,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2018-09-30,0.218,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2018-10-16,0.1941,28.51999982,0.0,10,0,0.4,POINT (72.05 22.77)
2018-11-01,0.1996,28.51999982,0.0,11,0,0.4,POINT (72.05 22.77)
2018-11-17,0.1857,28.51999982,0.0,11,0,0.4,POINT (72.05 22.77)
2018-12-03,0.1955,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2018-12-19,0.1705,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
